#OTU_num,Kingdom,Phylum,Class,Order,Family,Genus,Species,Unassigned
ASV4654,Bacteria,Firmicutes,Clostridia,Peptostreptococcales-Tissierellales,Peptostreptococcaceae,Proteocatella,,False
ASV4655,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium_sensu_stricto_1,,False
ASV4656,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella_intermedia,False
ASV4657,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Aeromonadaceae,Tolumonas,,False
ASV4658,Bacteria,,,,,,,False
ASV4659,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,,,False
ASV4660,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,Aquabacterium,,False
ASV4661,Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Micrococcaceae,,,False
ASV4663,Bacteria,,,,,,,False
ASV4664,Archaea,Halobacterota,Methanomicrobia,Methanomicrobiales,Methanocorpusculaceae,Methanocorpusculum,,False
ASV4665,Bacteria,Fibrobacterota,Fibrobacteria,Fibrobacterales,Fibrobacteraceae,Fibrobacter,Fibrobacter_sp_UWB8,False
ASV4666,Bacteria,Fibrobacterota,Fibrobacteria,Fibrobacterales,Fibrobacteraceae,,,False
ASV4667,Bacteria,Patescibacteria,ABY1,Candidatus_Falkowbacteria,,,,False
ASV4668,Bacteria,Gemmatimonadota,Gemmatimonadetes,Gemmatimonadales,Gemmatimonadaceae,,,False
ASV4669,Bacteria,Patescibacteria,WWE3,unidentified_WWE3,unidentified_WWE3,unidentified_WWE3,,False
ASV4670,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotellaceae_UCG-003,,False
ASV4671,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Verrucomicrobiales,Verrucomicrobiaceae,,,False
ASV4672,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Halomonadaceae,Halomonas,Candidatus_Halomonas_phosphatis,False
ASV4673,Bacteria,Patescibacteria,Parcubacteria,Candidatus_Nomurabacteria,,,,False
ASV4674,Bacteria,Firmicutes,Negativicutes,Veillonellales-Selenomonadales,Sporomusaceae,,,False
ASV4675,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotellaceae_UCG-001,,False
ASV4676,Bacteria,Patescibacteria,Parcubacteria,Candidatus_Nomurabacteria,,,,False
ASV4677,Bacteria,Patescibacteria,Parcubacteria,Candidatus_Vogelbacteria,unidentified_Candidatus_Vogelbacteria,unidentified_Candidatus_Vogelbacteria,Parcubacteria_group_bacterium_GW2011_GWF2_52_12,False
ASV4678,Bacteria,Actinobacteriota,Coriobacteriia,Coriobacteriales,Atopobiaceae,,,False
ASV4679,Bacteria,,,,,,,False
ASV4680,Bacteria,Proteobacteria,Alphaproteobacteria,Paracaedibacterales,Paracaedibacteraceae,,,False
ASV4681,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,,,,False
ASV4682,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Lachnospiraceae_NK3A20_group,,False
ASV4683,Bacteria,Patescibacteria,Dojkabacteria,unidentified_Dojkabacteria,unidentified_Dojkabacteria,unidentified_Dojkabacteria,candidate_division_WS6_bacterium_GW2011_GWE2_33_157,False
ASV4684,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,,False
ASV4685,Archaea,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobrevibacter,,False
ASV4686,Bacteria,Desulfobacterota,Desulfuromonadia,Geobacterales,Geobacteraceae,Trichlorobacter,,False
ASV4687,Bacteria,Patescibacteria,Saccharimonadia,Saccharimonadales,LWQ8,,,False
ASV4688,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,p-251-o5,,,False
ASV4689,Bacteria,Spirochaetota,Spirochaetia,Spirochaetales,Spirochaetaceae,Treponema,Treponema_bryantii,False
ASV4690,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,,,False
ASV4691,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Arenimonas,,False
ASV4692,Bacteria,Firmicutes,Clostridia,Oscillospirales,Ruminococcaceae,Paludicola,,False
ASV4693,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,,False
ASV4694,Bacteria,Fusobacteriota,Fusobacteriia,Fusobacteriales,Leptotrichiaceae,Hypnocyclicus,,False
ASV4695,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Aquaspirillaceae,Aquaspirillum,Aquaspirillum_putridiconchylium,False
ASV4696,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Paludibacteraceae,Paludibacter,,False
ASV4697,Bacteria,Patescibacteria,Microgenomatia,Candidatus_Pacebacteria,,,,False
ASV4698,Bacteria,Firmicutes,Clostridia,Peptostreptococcales-Tissierellales,Peptostreptococcaceae,Peptostreptococcus,,False
ASV4699,Bacteria,Firmicutes,Clostridia,Christensenellales,Christensenellaceae,Christensenellaceae_R-7_group,,False
ASV4700,Bacteria,Desulfobacterota,Desulfovibrionia,Desulfovibrionales,Desulfovibrionaceae,Desulfovibrio,,False
ASV4701,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Luteimonas,,False
