"Variable","OR_bootstrap","CI_low","CI_high","p_value"
"(Intercept)",4.11910777014397,0.476550947190678,62.4117884976465,0.256151299622148
"Aquaspirillum",1.36525142683186,0.665198726059619,17.9002648846184,0.282082609394426
"Blautia",0.693936991616518,0.222175024092097,1.10745542987348,0.188800275198423
"Bradyrhizobium",0.835384772766104,0.430732033741402,1.84251898249624,0.451674955836861
"Burkholderia.Caballeronia.Paraburkholderia",0.918787236698699,0.664366304676502,1.24085014318501,0.649627154420249
"Lachnoanaerobaculum",1.27404207198108,0.893015666105421,2.54791837610631,0.239027141021154
"Methylobacterium.Methylorubrum",0.694725215508243,0.222170508821348,1.7420899309135,0.43961454422549
"Wald test (global)",NA,NA,NA,0.01829007
"Likelihood ratio test (global)",NA,NA,NA,0.02082463
