"Variable","OR","CI_low","CI_high","p_value"
"(Intercept)",3.67147426700547,0.392812571264513,39.8051620032549,0.256151299622148
"Aquaspirillum",1.31155570267487,0.810062537347622,2.45622745049386,0.282082609394426
"Blautia",0.745294599356908,0.457826843370135,1.15169397971449,0.188800275198423
"Bradyrhizobium",0.81488943727155,0.467773097074751,1.39654013542727,0.451674955836861
"Burkholderia.Caballeronia.Paraburkholderia",0.935661393032252,0.697034363478326,1.24883096466922,0.649627154420249
"Lachnoanaerobaculum",1.21715168013768,0.886862099309223,1.82978598153658,0.239027141021154
"Methylobacterium.Methylorubrum",0.755624565338999,0.317504436495854,1.5048986754598,0.43961454422549
