"","Modulo","Nodos","Fuerza_Media","Hubs"
"1","turquoise",52,3.56808977763391,"Cloacibacillus, Erysipelotrichaceae_UCG.003, Megamonas"
"2","brown",30,3.332541333517,"Acetobacteroides, Saccharofermentans"
"3","yellow",28,0.42423116558187,"Acidibacter, Burkholderia.Caballeronia.Paraburkholderia"
"4","blue",37,3.30862493947887,"Runella, Selenomonas"
