"","MEturquoise","MEyellow","MEblue","MEbrown"
"BQLHLP100ANF",0.000864607294538633,-0.0120401983720671,0.0304767153838375,0.0124987080870699
"BQLHLP101ANF",-0.00845059878810461,-0.0301129633633869,0.106445186108146,0.109809815796795
"BQLHLP103ANF",-0.0802256843561875,0.202213526698102,-0.0273975296817781,-0.0237361808613734
"BQLHLP104ANF",-0.0308965916139937,0.154199711665228,-0.0553638931591745,-0.0457958550564953
"BQLHLP105ANF",0.158287309219161,0.0871775634833097,-0.14183775538032,-0.298505351798798
"BQLHLP106ANF",-0.0593717524084956,-0.0101043958416532,0.0312439179237748,0.04518717305106
"BQLHLP107ANF",-0.0346090316532962,-0.0274975929956827,0.12995075528011,0.0677371142100608
"BQLHLP108ANF",0.143282271515398,-0.0178640791349053,-0.123029300554707,0.0682586204883681
"BQLHLP109ANF",0.130216605399676,-0.0826938925155982,-0.0620573078095683,-0.135276458421218
"BQLHLP110ANF",0.0542204739081878,0.030185941202911,-0.0743543463913122,-0.0214894274227184
"BQLHLP111ANF",-0.0585891422611806,0.105757403660761,0.0107719803392431,0.00436482774196512
"BQLHLP112ANF",-0.151629222339634,0.247178403388992,0.0449996910255493,-0.0476840703013216
"BQLHLP113ANF",0.0121350150861763,0.143478980706489,-0.0653082988500962,-0.085576212774627
"BQLHLP114ANF",-0.10623934828683,0.145566536532213,0.0168388830734147,-0.0301023679583001
"BQLHLP115ANF",-0.0124355202057145,-0.051072740396499,0.0679839472797515,0.0656312371934056
"BQLHLP116ANF",-0.0345672652215916,0.0180065274128904,0.020273220668953,0.0254318231992692
"BQLHLP117ANF",-0.0176383433381424,0.0207790140486322,0.0308751364990428,-0.0306603686305256
"BQLHLP118ANF",0.14453728714218,-0.0465424163695339,-0.0802876891379362,-0.285029937313339
"BQLHLP66ANF",0.0120410952447513,-0.0429522312075504,0.0549085191929047,-0.0524047429854302
"BQLHLP67ANF",-0.0597493206871664,0.0353901543685887,0.0508065534862091,0.0530851015147664
"BQLHLP68ANF",-0.0648951707544259,0.151196729951529,-0.00646061124641996,-0.062991532696397
"BQLHLP69ANF",-0.0449166333372158,0.0461441526200512,0.0663242901625978,0.0849771648219427
"BQLHLP70ANF",-0.00733712284108403,0.0133145229884751,0.0119877238489647,-0.105139708720379
"BQLHLP71ANF",-0.0352782306191812,0.0221410157115246,0.0553544214611106,0.0517187886507178
"BQLHLP72ANF",-0.0688289141396307,0.0987908788025086,0.0620238833255272,0.0489902325526881
"BQLHLP73ANF",-0.0498520532640766,0.0851200264848384,0.0457940729979982,0.102665731080483
"BQLHLP74ANF",-0.0148577914874121,-0.0112895990597284,0.0666059407832578,0.0816154334998157
"BQLHLP75ANF",0.0315826827628946,0.000612696460244856,-0.0357640488196673,-0.0119060376214214
"BQLHLP76ANF",-0.00558737732512556,-0.00985941750427548,-0.0100215073686256,0.0601523549090777
"BQLHLP77ANF",-0.023363841613751,0.00225850080675451,0.0610725012253913,0.0809323461884117
"BQLHLP78ANF",-0.0459811628261616,0.00769102999885728,0.0667794980790242,0.0335996687394991
"BQLHLP79ANF",-0.15346059880456,0.206417643775795,-0.0502979340400174,-0.0681696668971793
"BQLHLP80ANF",-0.0271954536066192,-0.006512267892909,0.103769011621386,0.0812020835198141
"BQLHLP81ANF",-0.165775003736343,0.263822402830686,0.12321906616519,-0.104298371223164
"BQLHLP82ANF",-0.0504192179545822,0.00487976046655483,0.0627301285467946,0.0575654472843768
"BQLHLP83ANF",-0.120142549387499,0.176548608321453,-0.037121362537726,-0.0400502368263265
"BQLHLP84ANF",0.228872933185503,-0.0341667436887927,-0.222127843098416,0.0844449280303813
"BQLHLP85ANF",-0.112992283842387,0.104202831703693,0.157609659696893,-0.0246452345805457
"BQLHLP86ANF",-0.0275159126726357,-0.0726633859182351,0.0601719195323134,0.0646241393069038
"BQLHLP87ANF",-0.0724486485571262,0.11952009451537,-0.0119906759516542,-0.0617813381803443
"BQLHLP88ANF",-0.0693784606086957,0.108412442608105,-0.0660895349680763,-0.0629361613964055
"BQLHLP89ANF",-0.102969292986462,0.199702168687518,0.0491390235346336,-0.0275410056633554
"BQLHLP90ANF",-0.0693843086657342,0.0744987879050226,0.0066474248333349,0.000939001055939847
"BQLHLP91ANF",-0.0311706816927263,-0.0476937082965373,0.0872813670151475,0.110351401059188
"BQLHLP92ANF",0.24941094476424,-0.0387942946424863,-0.10506915777644,-0.458106895928621
"BQLHLP94ANF",0.322419296948914,0.0181401740781875,-0.349892072298695,0.221895856213019
"BQLHLP95ANF",-0.0847481955335319,0.171313773264702,0.0157815980727902,0.00108333635809733
"BQLHLP96ANF",-0.125006746527709,0.211014900403431,0.118553652691944,-0.0449260077041171
"BQLHLP97ANF",0.0932218198795795,-0.0700065239618587,-0.00707764616926605,0.0309213448900421
"BQLHLP98ANF",-0.025139971243321,-0.0561254008632139,0.0736515155196272,0.0276804601400206
"BQLHLP99ANF",-0.0982421665764899,0.140483195647155,0.0261837723024642,0.0436590332972295
"BQLHSO100ANF",0.205228456709658,-0.0581296306936711,-0.304711392694766,0.19825723949281
"BQLHSO101ANF",0.175797298732324,-0.0215042820264508,-0.138813538532646,0.0750066522089565
"BQLHSO102ANF",0.0438699964802569,-0.070563086704721,-0.0359178818568788,-0.158797959743755
"BQLHSO76ANF",-0.0380402690646829,-0.137599508559244,0.0867148422805242,0.0359627443731855
"BQLHSO77ANF",-0.020962452227666,-0.0450662944445374,0.102304489424855,0.100487619428569
"BQLHSO78ANF",-0.112786995004873,0.0296121813621478,0.00955951363459363,-0.0548977927589066
"BQLHSO79ANF",-0.0510311895168046,-0.150863691746284,0.0725966896405514,0.0143626382301762
"BQLHSO80ANF",-0.0148909224990321,-0.121325017206369,0.0737476293953255,0.093798883989538
"BQLHSO81ANF",-0.0467361118583705,-0.139332705220042,0.0533654014964457,-0.00551048536563848
"BQLHSO82ANF",0.0247498884814115,-0.0558899082511136,0.0824629236184787,0.0366312457483398
"BQLHSO83ANF",-0.00887169439291985,-0.0363406489358258,0.111825882661589,0.128997213862953
"BQLHSO84ANF",-0.0652700382940098,-0.128229385629936,0.0205456988709082,-0.0178985572204317
"BQLHSO85ANF",0.00461078166362394,-0.0672869606173535,0.0793829812917955,0.0971652724936077
"BQLHSO86ANF",-0.0285964109705289,-0.0716627354907465,0.0933233087387906,0.0894002682757842
"BQLHSO87ANF",-0.065709665193441,-0.0353336552749559,0.00245823238257711,-0.0458378888982539
"BQLHSO88ANF",0.0232544291898907,-0.106299587237558,-0.075621297537052,-0.0521445209640152
"BQLHSO89ANF",-0.0451999477144764,0.0315889559602807,0.0732207230844129,0.0891794124659027
"BQLHSO90ANF",-0.0173893960217453,-0.0478441891209781,0.106799846050809,0.0939174959459992
"BQLHSO91ANF",-0.0136277024438609,-0.103959321061872,0.0943880010705801,0.0952013984627478
"BQLHSO92ANF",-0.046885310595692,-0.186205769908211,0.0855897349648316,0.0584307053460694
"BQLHSO93ANF",-0.0400422912781713,-0.197972831021121,-0.0142174140095537,0.0304028481804904
"BQLHSO94ANF",-0.0762403552806966,-0.186849924684944,0.0526979162022596,-0.0370011923954705
"BQLHSO95ANF",-0.072331122526848,-0.0481654932050706,-0.0041334192060781,-0.161396667307724
"BQLHSO96ANF",-0.0361620123637902,-0.173073865376511,0.0602207358374838,-0.0123773284100302
"BQLHSO97ANF",-0.000299674921909065,-0.0422060422634607,0.11624195260593,0.130497667360112
"BQLHSO98ANF",-0.0468984448478355,-0.127451929861242,0.0292636073791262,0.0434140361625648
"HULP62ANF",0.174646929030746,-0.0410561436162911,-0.243015214682561,-0.101996448410468
"HULP63ANF",0.251510967071493,-0.141788860242987,-0.264048119403651,0.0167231403596931
"HULP64ANF",-0.123664437276329,0.175297532591065,-0.0237170501077253,-0.0413034776623146
"HULP66ANF",0.142653311976588,-0.104263569755974,-0.102833428676338,-0.182085382526858
"HULP67ANF",0.249104420325814,-0.132285679012121,-0.335411865948002,0.167415617439379
"HULP68ANF",0.273654123354345,-0.0869121617980893,-0.290813271590709,-0.10381489584309
"HULP69ANF",-0.0866433291656908,0.035659990156367,0.0514708954406346,-0.030033464584859
"HULP70ANF",0.265547322192855,-0.142974997733381,-0.0748741246949416,-0.277863120355655
"HULP71ANF",-0.00615088233601077,-0.0118890325444596,0.0652405504309687,0.0954370807025847
