"","numDF","denDF","F-value","p-value"
"(Intercept)",1,80,906.537972874121,0
"Sample_Type",1,80,4.05064885661895,0.0475189439905657
"Condicion_Clinica",4,79,0.515838934759418,0.724276122023614
"Age",1,79,0.28567662998237,0.594505530697964
"Sample_Type:Condicion_Clinica",4,80,0.622967045695708,0.647457874739235
