"","Df","SumOfSqs","R2","F","Pr(>F)"
"Age",1,0.217941691137739,0.00365525777631398,0.997712855024014,0.001
"Sample_Type:Condicion_Clinica",4,1.98874074848284,0.0333546098867801,2.2760585637759,0.081
"Residual",159,34.7321663907662,0.582518290214808,NA,NA
"Total",169,59.6241645527705,1,NA,NA
