"contrast","estimate","SE","df","t.ratio","p.value"
"CTRL - (RSV-/Wheeze-)",4.02615233477861,1.39921650093712,79,2.87743342941003,0.0400783219448899
"CTRL - (RSV-/Wheeze+)",4.39155937486782,1.20146136341328,79,3.65518152193564,0.00410208215635444
"CTRL - (RSV+/Wheeze-)",2.1597886111058,1.01611086737633,79,2.125544249598,0.219690177359694
"CTRL - (RSV+/Wheeze+)",3.38061581283187,0.99289251493327,79,3.40481548806828,0.00897767041890707
"(RSV-/Wheeze-) - (RSV-/Wheeze+)",0.365407040089211,1.29905128988411,79,0.281287615765971,0.99860086960052
"(RSV-/Wheeze-) - (RSV+/Wheeze-)",-1.86636372367281,1.16341154619371,79,-1.6042162636076,0.499209981609035
"(RSV-/Wheeze-) - (RSV+/Wheeze+)",-0.645536521946741,1.12540841482815,79,-0.573602003895906,0.978548122395726
"(RSV-/Wheeze+) - (RSV+/Wheeze-)",-2.23177076376202,0.906345598016556,79,-2.4623838507585,0.109890878613352
"(RSV-/Wheeze+) - (RSV+/Wheeze+)",-1.01094356203595,0.845885507486438,79,-1.19513049117012,0.754140816121914
"(RSV+/Wheeze-) - (RSV+/Wheeze+)",1.22082720172607,0.617690665992981,79,1.97643783359346,0.286988514249466
