"contrast","estimate","SE","df","t.ratio","p.value"
"CTRL - (RSV-/Wheeze-)",0.149805705810105,0.0674452583063023,79,2.22114511193305,0.182703923087411
"CTRL - (RSV-/Wheeze+)",0.14645050199112,0.0579130334341963,79,2.52880039788495,0.0945470503150466
"CTRL - (RSV+/Wheeze-)",0.153489700375821,0.0489787390815778,79,3.13380261015239,0.0199106284005456
"CTRL - (RSV+/Wheeze+)",0.149803175872072,0.047859564331337,79,3.13005724070049,0.0201230003306134
"(RSV-/Wheeze-) - (RSV-/Wheeze+)",-0.00335520381898494,0.0626170787299101,79,-0.0535828864431241,0.999998087786735
"(RSV-/Wheeze-) - (RSV+/Wheeze-)",0.00368399456571639,0.0560789500388368,79,0.0656930017977348,0.999995682812938
"(RSV-/Wheeze-) - (RSV+/Wheeze+)",-2.52993803270818e-06,0.0542471170025042,79,-4.66372808824364e-05,1
"(RSV-/Wheeze+) - (RSV+/Wheeze-)",0.00703919838470132,0.0436878159541899,79,0.161124978004908,0.999845412925991
"(RSV-/Wheeze+) - (RSV+/Wheeze+)",0.00335267388095223,0.0407735089686054,79,0.082226768452372,0.999989415829493
"(RSV+/Wheeze-) - (RSV+/Wheeze+)",-0.00368652450374909,0.0297740246011868,79,-0.123816801830752,0.999945812464735
