"","Df","SumOfSqs","R2","F","Pr(>F)"
"Age",1,0.290694418699793,0.00896157775660725,0.822252535414385,0.606
"Condicion_Clinica",4,2.66127694841423,0.0820423054964472,1.88190895447954,0.003
"Residual",83,29.3433412642789,0.904601593503811,NA,NA
"Total",88,32.4378615680111,1,NA,NA
