"","Df","SumOfSqs","R2","F","Pr(>F)"
"Age",1,0.530023281767221,0.0165788230077674,1.42742095729643,0.111
"Condicion_Clinica",4,2.08858573926109,0.0653297590858735,1.40620759402843,0.029
"Residual",79,29.3339109570849,0.917547841033718,NA,NA
"Total",84,31.9698980753277,1,NA,NA
