"Variable","OR","CI_low","CI_high","p_value"
"(Intercept)",2.36111407647105,1.16618491231803,5.05686329030324,0.0166939411557219
"Anaerosinus",1.14119923605036,0.495109463170777,5.03775114815281,0.837863831382064
"Bradyrhizobium",1.39199546230143,0.873278194255522,3.78145606325234,0.192149681491384
"Dolosigranulum",1.10633240016729,0.863896942204792,1.50565347955273,0.43494560774299
"Faecalibacterium",1.06646566723819,0.418823054559554,3.51814950363382,0.897994714373337
"Methanosaeta",2.74483474505175,0.49053706588555,177.178670047182,0.286953321536753
"TM7x",0.738806835812811,0.469809189188335,1.13514563482906,0.159983964502946
