"Variable","OR_bootstrap","CI_low","CI_high","p_value"
"(Intercept)",2.23436995962194,1.01723192783407,5.51076922097978,0.0166939411557219
"Anaerosinus",1.13596726391695,0.516997851720865,3.48162517562135,0.837863831382064
"Bradyrhizobium",1.46998259017266,0.998594252947604,2.32068606588802,0.192149681491384
"Dolosigranulum",1.1367700510454,0.903896437082266,4.32383303709429,0.43494560774299
"Faecalibacterium",1.0826767339355,0.424104757583233,2.69285794171239,0.897994714373337
"Methanosaeta",2.55778663111295,0.829081541259226,12.6374509222931,0.286953321536753
"TM7x",0.752761064402327,0.354537830837418,1.37492708282918,0.159983964502946
"Wald test (global)",NA,NA,NA,0.001536626
"Likelihood ratio test (global)",NA,NA,NA,0.2187346
