"Variable","OR","CI_low","CI_high","p_value"
"(Intercept)",136.289337163663,25.5816179789189,1756.46428398501,0
"Bacteroides",0.599373115168795,0.40534144047438,0.817809750755726,0.00103078859057593
"Dolosigranulum",0.720184377582952,0.571409213217333,0.852256486153752,4.35260257255488e-05
