"Variable","OR_bootstrap","CI_low","CI_high","p_value"
"(Intercept)",172.696312283773,54.0358228843124,8224.98292784429,0
"Bacteroides",0.575279100950403,0.326229468445639,0.837247298223828,0.00103078859057593
"Dolosigranulum",0.70201459755895,0.528271034612225,0.808167588947987,4.35260257255488e-05
"Wald test (global)",NA,NA,NA,2.605423e-06
"Likelihood ratio test (global)",NA,NA,NA,3.346836e-07
