"Variable","Odds Ratio (OR)","Lower CI (2.5%)","Upper CI (97.5%)","p-value"
"Age",0.825597641838304,0.695494264590332,0.966264707011098,0.0209685441083114
"Clostridium_sensu_stricto_1",0.756544188677208,0.600780635513757,0.931428015297285,0.0116586370501085
"Cutibacterium",0.789027739546993,0.6027580283103,1.01539514748066,0.070525968607413
