"Variable","Odds Ratio (OR)","Lower CI (2.5%)","Upper CI (97.5%)","p-value"
"Age",0.897060452540888,0.766417751728461,1.04316178494345,0.162199702602895
"Burkholderia_Caballeronia_Paraburkholderia",0.69618386926343,0.49993949784175,0.938317566324365,0.0227500946595714
"Haemophilus",1.04849811059912,0.874071979589811,1.25882210612132,0.607449230767385
