"Bacteria","Odds Ratio (OR)","Lower CI (2.5%)","Upper CI (97.5%)","p-value"
"Actinobacillus",1.14573938135856,0.923964642508096,1.4571573682333,0.232298271521717
"Atopobium",1.16466678570337,0.939143447353897,1.46632818632687,0.174415971326102
"Burkholderia_Caballeronia_Paraburkholderia",0.666604859100169,0.500517109802101,0.857747001543342,0.00287537510486618
"Corynebacterium",0.813891885166999,0.655755250041693,0.99463704798481,0.0503387702517352
"Dolosigranulum",0.909157143155638,0.728841110030564,1.12771936707061,0.385377262258959
"Haemophilus",1.18402581135604,1.02104817383552,1.38345930891805,0.0280388763766679
"Microbacterium",1.14160304166004,0.846231814274961,1.5628075769536,0.390892122989676
