"Metric","Condicion_Clinica","Mean","SD"
"Observed","CTRL",172.58952553661,87.383990130133
"Observed","RSV-/Wheeze-",43.6765030474966,17.353581563776
"Observed","RSV-/Wheeze+",50.6620008499316,19.3514493218388
"Observed","RSV+/Wheeze-",99.7590166351956,130.697121015724
"Observed","RSV+/Wheeze+",89.5679082638456,99.063289561586
"Shannon","CTRL",1.52149996067478,0.559078489225433
"Shannon","RSV-/Wheeze-",1.46952363997121,0.584090373096132
"Shannon","RSV-/Wheeze+",1.29041928629675,0.666129631998102
"Shannon","RSV+/Wheeze-",1.41593996964668,0.543156530570216
"Shannon","RSV+/Wheeze+",1.62923653691639,0.677515314192862
"Simpson","CTRL",0.621625272484748,0.229353308059235
"Simpson","RSV-/Wheeze-",0.639879379298334,0.238465898875782
"Simpson","RSV-/Wheeze+",0.511935292326787,0.270421432568388
"Simpson","RSV+/Wheeze-",0.592573545757925,0.148009976942309
"Simpson","RSV+/Wheeze+",0.658307524158739,0.189264723956555
